ID,Period,StudentAcademicLevel,StudentCategory,StudentLocation,FullTimePartTimeIndicator,AlumniChild,Ethnicity,Gender,ChurchAffiliation,CitizenshipCountry,InternationalIndicator,Continent,CountryResidency,DualCitizenship,ABDIndicator,USCitizensBreakdown
1,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
2,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Part Time,Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
3,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Presbyterian,South Korea,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
4,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Part Time,Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
5,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
6,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
7,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
8,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Asian,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
9,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
10,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Ghana,Intl Citz,Africa,Ghana,Non Dual Citizen,Not ABD,Non-US Citizen
11,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Presbyterian,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
12,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Part Time,Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
